"ResponseId","trial","happiness","image","condition"
"R_00PGMxl32UCUJ4B","filler",2,"positive stimuli absent","pen-in-mouth"
"R_00PGMxl32UCUJ4B","filler",2.25,"positive stimuli absent","pen-in-mouth"
"R_00PGMxl32UCUJ4B","happy",1.5,"positive stimuli absent","pen-in-mouth"
"R_00PGMxl32UCUJ4B","neutral",2.75,"positive stimuli absent","pen-in-mouth"
"R_01eoUnMoFd6n5p7","filler",3.75,"positive stimuli present","facial mimicry"
"R_01eoUnMoFd6n5p7","filler",2,"positive stimuli present","facial mimicry"
"R_01eoUnMoFd6n5p7","happy",5.25,"positive stimuli present","facial mimicry"
"R_01eoUnMoFd6n5p7","neutral",5,"positive stimuli present","facial mimicry"
"R_01hbulpYlnQeJzj","filler",1,"positive stimuli absent","facial mimicry"
"R_01hbulpYlnQeJzj","filler",2.75,"positive stimuli absent","facial mimicry"
"R_01hbulpYlnQeJzj","happy",1.25,"positive stimuli absent","facial mimicry"
"R_01hbulpYlnQeJzj","neutral",2,"positive stimuli absent","facial mimicry"
"R_07GuIwLJ9JOSNO1","filler",5.75,"positive stimuli present","facial mimicry"
"R_07GuIwLJ9JOSNO1","filler",7,"positive stimuli present","facial mimicry"
"R_07GuIwLJ9JOSNO1","happy",6.25,"positive stimuli present","facial mimicry"
"R_07GuIwLJ9JOSNO1","neutral",6,"positive stimuli present","facial mimicry"
"R_07lRYFhflf295aV","filler",3.5,"positive stimuli absent","facial mimicry"
"R_07lRYFhflf295aV","filler",3.75,"positive stimuli absent","facial mimicry"
"R_07lRYFhflf295aV","happy",3.75,"positive stimuli absent","facial mimicry"
"R_07lRYFhflf295aV","neutral",3.5,"positive stimuli absent","facial mimicry"
"R_0CiVllo2jjLbTQ5","filler",1.75,"positive stimuli present","pen-in-mouth"
"R_0CiVllo2jjLbTQ5","filler",1,"positive stimuli present","pen-in-mouth"
"R_0CiVllo2jjLbTQ5","happy",1.75,"positive stimuli present","pen-in-mouth"
"R_0CiVllo2jjLbTQ5","neutral",1.75,"positive stimuli present","pen-in-mouth"
"R_0dq3KyCoUrMpIEV","filler",1,"positive stimuli present","voluntary facial action"
"R_0dq3KyCoUrMpIEV","filler",1.25,"positive stimuli present","voluntary facial action"
"R_0dq3KyCoUrMpIEV","happy",1.5,"positive stimuli present","voluntary facial action"
"R_0dq3KyCoUrMpIEV","neutral",1.5,"positive stimuli present","voluntary facial action"
"R_0GSWQ9Wd2JpkDDj","filler",3.5,"positive stimuli absent","voluntary facial action"
"R_0GSWQ9Wd2JpkDDj","filler",3,"positive stimuli absent","voluntary facial action"
"R_0GSWQ9Wd2JpkDDj","happy",2.75,"positive stimuli absent","voluntary facial action"
"R_0GSWQ9Wd2JpkDDj","neutral",2.25,"positive stimuli absent","voluntary facial action"
"R_0iZAm05CItiLUTT","filler",1,"positive stimuli absent","pen-in-mouth"
"R_0iZAm05CItiLUTT","filler",1,"positive stimuli absent","pen-in-mouth"
"R_0iZAm05CItiLUTT","happy",1,"positive stimuli absent","pen-in-mouth"
"R_0iZAm05CItiLUTT","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_0JNFIG5Tb9gZ8tj","filler",3.25,"positive stimuli present","voluntary facial action"
"R_0JNFIG5Tb9gZ8tj","filler",2.75,"positive stimuli present","voluntary facial action"
"R_0JNFIG5Tb9gZ8tj","happy",2,"positive stimuli present","voluntary facial action"
"R_0JNFIG5Tb9gZ8tj","neutral",2.75,"positive stimuli present","voluntary facial action"
"R_0k7ETHPcZ3gQLPr","filler",5,"positive stimuli present","pen-in-mouth"
"R_0k7ETHPcZ3gQLPr","filler",4.75,"positive stimuli present","pen-in-mouth"
"R_0k7ETHPcZ3gQLPr","happy",5,"positive stimuli present","pen-in-mouth"
"R_0k7ETHPcZ3gQLPr","neutral",5,"positive stimuli present","pen-in-mouth"
"R_0kU85m0uwzUbLEZ","filler",3.5,"positive stimuli present","pen-in-mouth"
"R_0kU85m0uwzUbLEZ","filler",3.25,"positive stimuli present","pen-in-mouth"
"R_0kU85m0uwzUbLEZ","happy",3,"positive stimuli present","pen-in-mouth"
