"condition","awareness","qulty_rate_var","qulty_feel_var","qulty_smlr_var","indiv_body","happ.diff"
"voluntary facial action",2,7,7,5,4.72222222222222,1
"pen-in-mouth",1,7,2,6,3.11111111111111,-1.25
"facial mimicry",1,7,6,NA,5.22222222222222,0.25
"facial mimicry",1,7,3,5,3.33333333333333,-0.75
"facial mimicry",1,7,7,7,5.66666666666667,0.25
"facial mimicry",1,6,3,6,3.88888888888889,0.25
"facial mimicry",1.5,5,3,5,4.66666666666667,0
"voluntary facial action",2,7,5,7,5.77777777777778,0.25
"voluntary facial action",6.5,7,6,7,6.27777777777778,4.25
"pen-in-mouth",1,7,5,4,4.22222222222222,0
"facial mimicry",5,3,1,6,5.05555555555556,-0.75
"voluntary facial action",1,7,6,6,4.05555555555556,0
"facial mimicry",5,7,1,3,4.44444444444444,-0.25
"voluntary facial action",1,7,3,2,4.77777777777778,0.5
"facial mimicry",2.5,7,4,6,3.16666666666667,2.5
"pen-in-mouth",1,6,2,5,5.16666666666667,0
"facial mimicry",1.5,6,2,NA,2.94444444444444,0
"pen-in-mouth",2.5,7,4,7,4.11111111111111,0.75
"voluntary facial action",1,4,3,4,2.44444444444444,-1
"voluntary facial action",1,7,1,6,4.61111111111111,-0.75
"facial mimicry",6,7,1,6,3.61111111111111,-0.25
"pen-in-mouth",1,7,6,6,2.5,0
"pen-in-mouth",1,7,1,4,4.83333333333333,-0.5
"pen-in-mouth",1.5,5,6,6,4.66666666666667,-0.75
"facial mimicry",1,7,5,5,3.11111111111111,0
"facial mimicry",2,7,4,5,4.83333333333333,1
"facial mimicry",1,7,5,7,5.38888888888889,0.25
"voluntary facial action",3,7,6,7,5.22222222222222,4.75
"pen-in-mouth",1,7,1,5,5.55555555555556,0
"voluntary facial action",4.5,7,4,5,2.72222222222222,1
"facial mimicry",1,6,5,5,4.83333333333333,0.25
"voluntary facial action",4,6,6,NA,4.16666666666667,0.75
"voluntary facial action",5,7,6,7,5.16666666666667,2
"pen-in-mouth",2.5,7,4,7,4.5,2
"pen-in-mouth",1,7,1,5,5.38888888888889,0
"facial mimicry",2,7,5,6,5.88888888888889,-0.25
"facial mimicry",1.5,5,1,6,4.38888888888889,0
"facial mimicry",1,7,5,5,3.61111111111111,2.25
"voluntary facial action",1,7,2,7,3.16666666666667,-2.75
"pen-in-mouth",1.5,7,5,7,6.05555555555556,0
"facial mimicry",3,7,2,6,5.27777777777778,-0.25
"pen-in-mouth",1,7,3,6,3.22222222222222,1.25
"pen-in-mouth",1,7,1,6,4.83333333333333,-0.25
"pen-in-mouth",1,7,7,7,5,-0.25
"voluntary facial action",5.5,7,7,6,3.55555555555556,0.25
"pen-in-mouth",1,3,1,4,5.38888888888889,0
"voluntary facial action",1.5,4,5,5,NA,0.75
"voluntary facial action",1,7,3,NA,5,0.75
"facial mimicry",1.5,7,1,6,5.05555555555556,3.5
"voluntary facial action",2,7,1,6,5.22222222222222,1
"pen-in-mouth",1.5,7,5,5,3.11111111111111,1
"facial mimicry",1.5,7,3,7,3.66666666666667,-1.75
"voluntary facial action",2,7,4,7,4.38888888888889,4.25
"voluntary facial action",1,6,5,6,3.66666666666667,0.75
"pen-in-mouth",1,6,1,6,4.83333333333333,0
"voluntary facial action",2.5,7,4,4,4,1
"pen-in-mouth",5,7,3,2,5.38888888888889,0
"pen-in-mouth",1,6,3,5,4.55555555555556,0
"pen-in-mouth",1,7,5,4,5.72222222222222,0.75
"facial mimicry",1,7,6,5,5.38888888888889,1.5
"voluntary facial action",3,7,6,6,3.88888888888889,2.5
"voluntary facial action",1,7,5,NA,3.94444444444444,-1.25
"pen-in-mouth",4,7,5,6,4.83333333333333,0
"pen-in-mouth",1,7,7,NA,2.27777777777778,1.5
"facial mimicry",1,6,2,5,3.66666666666667,0
"voluntary facial action",2,6,2,4,3.33333333333333,0
"voluntary facial action",2.5,7,5,7,4.05555555555556,0.75
"voluntary facial action",6.5,7,5,5,6.05555555555556,2.25
"voluntary facial action",1,7,7,6,3.88888888888889,2.75
"pen-in-mouth",1,4,6,7,4.16666666666667,2.25
"pen-in-mouth",1,7,5,5,4.77777777777778,0.5
"voluntary facial action",1,7,6,3,4.66666666666667,0.75
"pen-in-mouth",1,7,3,7,3.22222222222222,-0.5
"facial mimicry",3.5,7,5,6,4.5,1.75
"facial mimicry",1,7,5,NA,3.11111111111111,0
"facial mimicry",1.5,7,5,5,5.77777777777778,1.75
"pen-in-mouth",1.5,7,2,5,3.83333333333333,0
"voluntary facial action",1.5,7,4,6,4.94444444444444,0
"pen-in-mouth",2.5,7,3,3,3.66666666666667,0
"pen-in-mouth",2.5,7,3,6,5,0
"pen-in-mouth",1,7,1,3,2.66666666666667,0
"pen-in-mouth",1,7,3,6,4.11111111111111,-0.25
"pen-in-mouth",1,7,6,7,5.05555555555556,-1.5
"pen-in-mouth",1,5,3,NA,5.16666666666667,1.25
"voluntary facial action",1,7,1,1,4.83333333333333,0.5
"pen-in-mouth",5.5,7,3,6,3.33333333333333,-0.75
"voluntary facial action",4.5,6,3,NA,4.77777777777778,0
"pen-in-mouth",1,7,1,7,2.88888888888889,0
"voluntary facial action",4,7,7,4,2.72222222222222,3
"voluntary facial action",6.5,6,5,7,5,1.25
"facial mimicry",1,7,5,4,4.05555555555556,1.5
"facial mimicry",1,1,7,NA,4.66666666666667,-4
"voluntary facial action",1,7,1,1,2.55555555555556,-1
"voluntary facial action",1,7,6,4,4.5,0.5
"facial mimicry",1,7,3,4,5,0.25
"facial mimicry",5,7,1,1,5.33333333333333,0
"facial mimicry",1,7,4,NA,4.16666666666667,1.5
"voluntary facial action",1,6,7,7,4.5,1.25
"pen-in-mouth",1,7,1,4,3.55555555555556,0
"voluntary facial action",2,6,5,7,4.55555555555556,0.75
"pen-in-mouth",1,7,1,6,5.55555555555556,0
"facial mimicry",3,7,5,6,4.83333333333333,1.25
"pen-in-mouth",2,7,6,6,2.83333333333333,0.25
"facial mimicry",1,7,5,5,6.66666666666667,0
"voluntary facial action",1,7,1,4,4.5,-1
"pen-in-mouth",1,7,1,3,5.55555555555556,0
"pen-in-mouth",1.5,7,5,6,3.83333333333333,0.25
"voluntary facial action",3,6,3,6,5.05555555555556,0
"pen-in-mouth",1,6,4,4,4.38888888888889,0.5
"pen-in-mouth",1.5,7,2,3,3.77777777777778,-1
"facial mimicry",1,7,3,6,5,2.25
"facial mimicry",1,3,3,3,3.83333333333333,-0.75
"pen-in-mouth",1,7,7,7,2,-3
"voluntary facial action",1,7,5,6,4.33333333333333,1.5
"voluntary facial action",1,7,1,7,4.22222222222222,0
"voluntary facial action",5.5,5,5,NA,3.61111111111111,2
"pen-in-mouth",6,7,2,6,2.94444444444444,-0.5
"pen-in-mouth",1,7,5,3,6.22222222222222,0
"voluntary facial action",5,7,6,7,5.11111111111111,-1
"facial mimicry",3.5,7,4,2,6.11111111111111,0
"voluntary facial action",1,7,2,5,3.44444444444444,0
"voluntary facial action",1,7,5,7,4.22222222222222,2.25
"facial mimicry",3.5,7,6,6,4.61111111111111,0
"facial mimicry",1,7,2,5,3.88888888888889,0
"pen-in-mouth",1,7,3,5,3.77777777777778,0.5
"voluntary facial action",1,7,5,6,6.66666666666667,0
"pen-in-mouth",1,7,1,5,4.38888888888889,-1
"voluntary facial action",6,7,7,5,3.72222222222222,3
"facial mimicry",1,7,1,7,5.88888888888889,0.75
"facial mimicry",1,7,6,6,6.22222222222222,-1
"facial mimicry",4.5,7,4,5,2.77777777777778,1.25
"voluntary facial action",1,6,7,6,3,0.5
"pen-in-mouth",3,7,1,4,4.61111111111111,0
"facial mimicry",1,7,4,4,5.61111111111111,0.75
"facial mimicry",1,7,7,5,5.27777777777778,0
"facial mimicry",1,7,6,5,4.77777777777778,2.25
